label,koi_period,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_steff,koi_slogg,koi_srad,koi_impact
1,9.488035570,2.95750,6.1580e+02,2.26,793.0,93.59,35.80,5455.00,4.467,0.9270,0.1460
1,2.525591777,1.65450,6.0330e+02,2.75,1406.0,926.16,40.90,6031.00,4.438,1.0460,0.7010
1,4.134435120,3.14020,6.8600e+02,2.77,1160.0,427.65,40.20,6046.00,4.486,0.9720,0.7620
1,16.068646740,3.53470,4.9143e+03,5.76,600.0,30.75,161.90,5031.00,4.485,0.8480,0.0520
1,2.204735417,3.88864,6.6747e+03,16.10,2048.0,4148.92,5945.90,6440.00,4.019,1.9520,0.2240
1,3.709214104,2.63020,1.3110e+02,1.16,1206.0,500.46,50.60,5833.00,4.407,1.0220,0.0510
0,11.521446064,3.63990,1.7984e+04,150.51,753.0,75.88,622.10,5795.00,4.554,0.8480,2.4830
1,6.029303290,1.58210,1.9127e+03,2.85,678.0,50.04,65.40,4537.00,4.648,0.6720,0.2580
0,2.696370652,3.61290,3.9790e+02,1.58,1066.0,305.34,48.20,4989.00,4.504,0.8190,0.0440
1,3.941052210,2.59840,3.6330e+02,1.70,1018.0,253.15,28.90,5185.00,4.440,0.9100,0.2260
1,21.676991930,3.45550,8.5720e+02,2.95,530.0,18.64,34.30,4954.00,4.500,0.8280,0.8960
1,4.280963604,2.87500,7.5080e+02,2.30,1012.0,247.87,61.80,5644.00,4.564,0.8310,0.4240
0,61.256362800,7.63300,5.1233e+03,39.87,505.0,15.43,85.30,6144.00,4.402,1.0910,1.2480
1,41.197255020,4.62970,2.2139e+03,3.86,439.0,8.76,51.20,5031.00,4.485,0.8480,0.0450
1,16.013084190,3.25540,1.1219e+03,3.10,593.0,29.31,33.20,5015.00,4.499,0.8260,0.7990
1,91.773286200,6.47300,6.5200e+02,2.12,359.0,3.92,19.10,5586.00,4.560,0.7980,0.6060
1,5.412203927,2.94720,6.0160e+02,2.94,1093.0,337.68,166.70,5779.00,4.339,1.0870,0.7870
1,8.353895230,2.25140,1.0416e+03,2.52,790.0,91.90,43.40,5592.00,4.582,0.7870,0.0230
1,2.816504904,2.50587,1.6814e+04,12.21,1219.0,521.13,1406.80,5532.00,4.452,0.9550,0.1050
1,4.431238488,3.15000,1.0109e+03,3.25,1104.0,351.23,71.10,5714.00,4.428,1.0150,0.4050
1,26.394328970,3.57300,1.5109e+03,3.07,489.0,13.49,48.20,5129.00,4.595,0.7630,0.6020
1,7.125943870,3.00140,1.9240e+02,1.79,997.0,233.31,47.10,5779.00,4.339,1.0870,0.8980
0,7.442652004,2.30780,2.4446e+04,15.03,967.0,206.78,835.60,6108.00,4.469,0.9560,0.1370
1,7.877416300,2.08050,1.3061e+03,2.16,553.0,22.18,38.70,4126.00,4.661,0.6150,0.0410
1,3.728732147,2.68300,5.2265e+03,6.02,1023.0,258.34,345.20,5497.00,4.577,0.8090,0.5580
1,2.337437946,1.99820,9.7120e+02,2.34,1070.0,311.16,82.40,5005.00,4.595,0.7650,0.2800
1,6.575315881,4.30840,2.7933e+03,5.31,1015.0,251.38,221.10,5992.00,4.415,0.9890,0.3900
1,19.271538920,2.75940,1.2198e+03,1.93,393.0,5.66,37.10,4077.00,4.702,0.5600,0.0310
1,12.393565100,3.88960,9.1660e+02,2.66,677.0,49.68,35.80,5557.00,4.603,0.7500,0.8830
1,2.711504086,3.00990,8.3750e+02,3.12,1420.0,960.79,64.50,6214.00,4.442,1.0760,0.0230
1,8.472379110,2.72450,1.1235e+03,2.59,751.0,75.44,47.60,5354.00,4.587,0.7880,0.0220
1,12.611904345,5.14970,6.1056e+03,7.40,753.0,76.15,277.20,5795.00,4.508,0.9190,0.5500
0,1.433769925,1.88680,1.9763e+03,46.58,1920.0,3209.29,112.60,6017.00,4.220,1.3390,1.2680
1,6.770300385,2.08440,1.3040e+03,2.77,812.0,102.87,50.80,5653.00,4.656,0.6790,0.8380
1,46.184203900,4.75800,1.3947e+03,1.83,273.0,1.32,26.00,3950.00,4.754,0.4930,0.0130
1,7.825021680,2.18600,5.2080e+02,1.20,494.0,14.05,15.90,3950.00,4.754,0.4930,0.7080
1,22.366464660,5.22800,9.8680e+02,2.32,536.0,19.45,32.10,5395.00,4.615,0.7340,0.4000
0,10.328035714,7.79150,1.6918e+04,13.28,843.0,119.31,636.80,5627.00,4.359,1.0240,0.2810
1,143.206304700,8.93020,1.0566e+04,8.90,308.0,2.14,138.80,5485.00,4.556,0.8670,0.3790
1,60.324942160,6.61880,2.0280e+04,12.19,411.0,6.77,347.20,5485.00,4.556,0.8670,0.2240
1,1.594745374,1.96040,1.5044e+04,11.30,1539.0,1329.42,1009.30,5934.00,4.491,0.8930,0.5140
1,3.340218842,1.91040,1.6326e+03,2.03,656.0,43.73,71.60,3950.00,4.754,0.4930,0.4660
1,4.901449760,4.16540,1.4070e+02,1.70,1262.0,598.74,50.60,5847.00,4.191,1.4020,0.5290
1,38.557654600,5.79400,9.9300e+02,4.02,550.0,21.71,39.70,5775.00,4.405,1.0530,0.9110
1,7.748094239,3.59570,2.4721e+03,5.52,964.0,204.39,113.20,5973.00,4.439,1.0850,0.5170
1,8.114374820,2.27360,1.5580e+03,2.10,460.0,10.55,56.40,3692.00,4.753,0.5170,0.5730
0,38.036729482,4.34617,8.2872e+04,27.50,500.0,14.81,1300.00,5575.00,4.521,0.9320,0.5010
1,21.812959960,4.37910,1.1754e+03,3.38,639.0,39.33,37.80,5601.00,4.410,0.9990,0.0530
1,8.103632710,3.16100,8.8790e+02,2.11,687.0,52.82,39.30,4861.00,4.574,0.7320,0.0470
